,artist_id,artist_name
458,1007135,陈小虎
459,868012,多杰太阳
460,1075087,dj黑人blackz
461,2544,Dick Lee
462,1057162,德格叶
463,2157,陈志远
464,2224,春雷
465,2128,陈永淘
466,2371,曹磊
467,1039211,超级猴子
468,168015,褚乔
469,2738,方大同
470,2747,费玉清
471,2739,方力申
472,2736,范逸臣
473,2775,樊凡
474,957020,冯佳界
475,2741,房祖名
476,2742,方泂镔
477,2743,费翔
478,2737,范宗沛
479,725039,冯允谦
480,2768,付笛声
481,2791,付辛博
482,2740,傅聪
483,1132196,冯建宇
484,4544,佛山DJ明仔
485,1081940,甫平
486,862024,范忆堂
487,1043488,范恩
488,2754,冯晓泉
489,228462,冯翰铭
490,2753,冯德伦
491,956281,符家浚
492,1081292,Firah
493,2816,冯绍峰
494,2764,范思威
495,2802,肥宝
496,2786,范睿
497,1039404,Forkyrie
498,1050405,F1y&nbsp;Syn
499,1032016,风子
500,896230,冯巩
501,1039141,方雨晨
502,1049257,冯小波
503,977192,风雷
504,2749,范圣琦
505,1047027,Ferrison
506,1163007,方磊
507,2758,冯乔
508,2752,方锦龙
509,2803,范圣霖
510,2808,冯晓荣
511,2777,符致逸
512,2793,樊少华
513,2757,傅振辉
514,1077058,菲莫拉
515,1024299,Oily&nbsp;Fish
516,1050334,Fosto
517,2750,Finn
518,1161038,冯柯
519,2788,Faber
520,1132467,方少言
521,1132372,冯行龙
522,2810,浮尘
523,2827,付豪
524,2813,冯泽雨
525,2761,浮克
526,1050441,F.BING.KAI
527,2748,Funck
528,1022050,Fattwo
529,1041080,冯博
530,2792,冯磊
531,2790,冯铭潮
532,1087516,方治权
533,2839,飞翔
534,2756,冯杰
535,802015,付俊杰
536,2759,范竞马
537,1025042,梵墨
538,907004,费嘉
539,1016120,冯光
540,2766,方顺吉
541,908116,冯满天
542,2762,方奕
543,865007,法老
544,1039402,fx
545,2778,冯言
546,2769,冯伟棠
547,1081898,疯哥张
548,1081399,冯光华
549,2771,冯少先
550,1132739,FroZenUniverse
551,2765,范振锋
552,1019125,范宏伟
553,809018,Ca$hFlow
554,1039295,范洛
555,1018070,浮小生July
556,1057234,FACEVÔID
557,2795,方迪
558,1115016,FOM
559,1019745,范朋飞
560,1046239,奉枫
561,1048005,范文夺
562,2751,Funky末吉
563,1087202,Fre浩成
564,2781,傅振荣
565,2805,冯家俊
566,2799,范竟马
567,2829,范星光
568,2779,方子浩
569,2849,古巨基
570,2842,光良
571,2863,高进
572,2922,郭德纲
573,2852,郭富城
574,2843,郭顶
575,3348,回音哥
576,3066,胡彦斌
577,3249,河图
578,861777,华晨宇
579,2963,高安
580,2868,关喆
581,2853,关正杰
582,2948,宫傲
583,3273,胡夏
584,3064,胡歌
585,3058,后弦
586,3081,胡伟立
587,3255,黄渤
588,1038374,iMoon
589,956418,InfiniteMusic
590,1132544,Iceloki
591,900332,imeatART
592,1047333,iCsuo
593,166014,金志文
594,3558,蒋明
595,3535,Jason Chen
596,3528,靳松
597,2981,葛平
598,2848,郭峰
599,2870,甘仕良
600,2861,关楚耀
601,2850,顾嘉辉
602,3071,郝云
603,3063,黄义达
604,3415,霍尊
605,3086,海鸣威
606,3438,iiiis
607,1039978,ilham丁丁
608,1039393,IMAGINE
609,133386,INK
610,3456,姜育恒
611,188694,蒋家驹（蒋蒋）
612,3585,蒋勋
613,827163,金贵晟
614,5001,简弘亦
615,2947,国蛋
616,2841,高晓松
617,2874,顾峰
618,2859,管平湖
619,3072,韩磊
620,3084,洪卓立
621,3059,黄霑
622,3120,霍建华
623,1031042,ibinbao
624,1049076,Inspiration Crowd
625,1031052,Impractical Scraps
626,1050737,Ilya Ai Wei
627,1161208,Izumi koga
628,3459,姜玉阳
629,1106073,贾乃亮
630,3452,蒋大为
631,3450,几米
632,2862,龚一
633,2867,哏德全
634,2878,顾海滨
635,3007,郭少杰
636,3069,洪启
637,3322,黄英华
638,3094,黄晓明
639,3077,欢子
640,3116,黄家强
641,13707529,IL CANTO
642,13738116,ins白日说唱家
643,13430213,Infernal Chaos
644,12263528,Imc王辰
645,3445,Intangible Ism
646,3454,贾鹏芳
647,3600,江智民
648,3499,景岗山
649,1081155,蒋劲夫
650,2879,关智斌
651,1043146,光合唱片
652,900276,戈锐
653,2928,高夫
654,2844,古天乐
655,3090,何炅
656,3272,韩庚
657,3073,黄凯芹
658,1006030,洪尘
659,1081840,irevan
660,11987075,impossibleChuck
661,1044068,IMCUICUI
662,11975111,ilem
663,3464,江涛
664,3539,井柏然
665,3453,蒋志光
666,3498,金学峰
667,2846,高明骏
668,2851,郭子
669,2892,高林生
670,2857,高凌风
671,3065,黄立行
672,3079,黄品源
673,3068,黄大炜
674,3126,黄宗泽
675,1083022,iimmune
676,1039395,IANNE
677,820494,Inbellum
678,1000135,"I,Defiance"
679,233211,INTI
680,3536,金培达
681,3594,蒋山
682,1047078,江南诚
683,3537,鞠起
684,2856,高枫
685,3020,过江龙
686,3042,高正洋
687,2885,光头李进
688,1049179,Hanser
689,3082,黄安
690,3061,黄磊
691,1025202,黄子韬
692,3613,纪晓斌
693,789380,J-Sleeper性感的拖鞋
694,3562,金复载
695,840314,茉莉与年少
696,908209,Gordon扬豆仔
697,2890,恭硕良
698,3031,关栋天
699,2945,歌浴森
700,2847,郭伟亮
701,3056,胡德夫
702,3307,晃儿
703,3060,黄建为
704,3421,黄勇
705,3330,胡鸿钧
706,5839,解小东
707,1087229,吉佑社
708,1156032,靳东
709,3534,贾鹏新
710,3451,金城武
711,2872,关德辉
712,1049027,郭京飞
713,2959,根呷
714,905095,嘎玛西周
715,3106,黄永灿
716,3259,呼斯楞
717,3112,何润东
718,3070,黄玠
719,3102,黄靖伦
720,3463,江得胜
721,1085016,贾轶男
722,12048,Jurat.T.T
723,905426,金润吉
724,2946,刮刮乐
725,2972,高山林
726,2925,管维嘉
727,1049741,尕金乐队
728,2875,郭浩男
729,3080,黄贯中
730,3093,黄征
731,223221,陈斐
732,3118,黑龙
733,837204,蒋卓嘉
734,3515,Jeff李
735,3519,金科
736,3504,君君
737,1049033,高铭
738,2912,郭炳坚
739,2871,广智
740,2926,高杰
741,3078,黄伟文
742,1045031,黄立纲
743,3256,黄明志
744,3104,骅梓
745,3162,胡兵
746,1015710,江潮
747,3458,纪佳松
748,3572,君子
749,3551,金泽
750,729003,贾涛
751,2969,关泽楠
752,2909,郭晋安
753,1044179,攻击
754,3029,高信
755,2881,高皓正
756,3055,何勇
757,3217,哈孜肯
758,3075,何训田
759,3138,何家劲
760,3524,极泷
761,3541,姜昆
762,1049408,姜潮
763,1049100,九阳
764,3462,吉杰
765,2899,关贵敏
766,2911,郭颂
767,1039344,果粒陈
768,2962,格茸农布
769,1039129,宫无后
770,3105,何维健
771,789450,何山
772,3076,黄秋生
773,3123,黄国俊
774,3526,JR Fog
775,3563,金久哲
776,1038349,杰磊
777,3466,姜鹏
778,2865,谷峰
779,2891,郭品超
780,2987,郭一凡
781,2960,高韶青
782,3057,黄舒骏
783,3378,何崇志
784,1039221,荷马先生
785,1053259,HUSH
786,3484,吉中鸣
787,3489,姜小鹏
788,3476,江志丰
789,1081355,Jimmis
790,2887,高向鹏
791,887107,葛维永
792,1124443,gilas0994
793,2855,郭敬明
794,3250,火风
795,3121,黄阅
796,94064,Howie&nbsp;Lee
797,3100,黄中原
798,3148,胡瓜
799,3461,江凯文
800,1039357,简单
801,1071076,姜贰拾
802,1038398,纪粹希
803,2903,甘子辉
804,820439,谷柏杉
805,188689,高世章
